-75.74395486,45.2814636,Camera E001,Speed Camera
-75.45925606,45.46910126,Camera E002,Speed Camera
-75.80628401,45.35063734,Camera E003,Speed Camera
-75.89990585,45.30800918,Camera E004,Speed Camera
-75.4782706,45.47896899,Camera E005,Speed Camera
-75.59991898,45.4391538,Camera E006,Speed Camera
-75.63584852,45.40031162,Camera E007,Speed Camera
-75.75007177,45.34465537,Camera E008,Speed Camera
-75.56546896,45.43322705,Camera E009,Speed Camera
-75.66090557,45.37627225,Camera E010,Speed Camera
-75.78383463,45.33408694,Camera E011,Speed Camera
-75.90999805,45.26520237,Camera E012,Speed Camera
-75.64533439,45.43843109,Camera E013,Speed Camera
-75.49442704,45.47178519,Camera E014,Speed Camera
-75.71241514,45.36465138,Camera E015,Speed Camera
-75.92470916,45.32300041,Camera E016,Speed Camera
-75.88133355,45.2949096,Camera E017,Speed Camera
-75.77,45.365,Camera E018,Speed Camera
-75.85731771,45.27853145,Camera E019,Speed Camera
-75.741578,45.262298,Camera E020,Speed Camera
-75.931182,45.273846,Camera E021,Speed Camera
-75.723721,45.272031,Camera E022,Speed Camera
-75.70957727,45.28511742,Camera E023,Speed Camera
-75.772869,45.374163,Camera E024,Speed Camera
-75.465943,45.458264,Camera E025,Speed Camera
-75.733357,45.254172,Camera E026,Speed Camera
-75.778904,45.277294,Camera E027,Speed Camera
-75.696073,45.401668,Camera E028,Speed Camera
-75.541853,45.477969,Camera E029,Speed Camera
-75.686453,45.281515,Camera E030,Speed Camera
-75.845611,45.283822,Camera E031,Speed Camera
-75.654245,45.379416,Camera E032,Speed Camera
-75.602618,45.317555,Camera E033,Speed Camera
-75.738178,45.279709,Camera E034,Speed Camera
-75.629025,45.36113,Camera E035,Speed Camera
-75.624844,45.386148,Camera E036,Speed Camera
-75.596862,45.446175,Camera E037,Speed Camera
-75.690856,45.434476,Camera E038,Speed Camera
-75.689318,45.366209,Camera E039,Speed Camera
-75.692337,45.388377,Camera E040,Speed Camera
-75.682366,45.229453,Camera E041,Speed Camera
-75.808178,45.326748,Camera E042,Speed Camera
-75.895837,45.304333,Camera E043,Speed Camera
-75.417074,45.422178,Camera E044,Speed Camera
-75.678616,45.43878,Camera E045,Speed Camera
-75.473743,45.468857,Camera E046,Speed Camera
-75.655611,45.368397,Camera E047,Speed Camera
-75.767698,45.327866,Camera E048,Speed Camera
-75.737577,45.272721,Camera E049,Speed Camera
-75.679124,45.410748,Camera E050,Speed Camera
-75.717443,45.322771,Camera E051,Speed Camera
-75.598027,45.454336,Camera E052,Speed Camera
-75.826479,45.320562,Camera E053,Speed Camera
-75.826413,45.185597,Camera E054,Speed Camera
-75.699859,45.360033,Camera E055,Speed Camera
-75.65551,45.425025,Camera E056,Speed Camera
-75.927624,45.264167,Camera E057,Speed Camera
-75.717662,45.288855,Camera E058,Speed Camera
-75.94004,45.339542,Camera E059,Speed Camera
-75.655556,45.373652,Camera E060,Speed Camera
